MSOA21CD,%_not deprived,%_deprived-1,%_deprived-2,%_deprived-3,%_deprived-4
E02000352,45.72829131652661,29.341736694677873,13.550420168067227,5.042016806722689,0.350140056022409
E02000353,48.11812391430226,27.851766068326576,10.654313839027214,4.4296467863346844,0.3184713375796179
E02000354,37.72011121408711,30.213160333642264,17.46987951807229,6.302131603336422,0.7414272474513438
E02000355,41.153193894855846,28.01017524024873,13.680045223289994,4.69191633691351,0.4522328999434709
E02000356,53.12117503059975,26.468788249694004,10.281517747858016,3.182374541003672,0.6119951040391677
E02000357,32.506116742397765,34.74309681929395,20.34253757427473,6.850751485494583,0.6641034603285565
E02000358,42.49237804878049,27.972560975609756,15.948932926829269,4.858993902439025,0.5525914634146342
E02000359,42.703944848716965,28.686327077747993,14.860206817311376,6.58751436231329,0.5361930294906166
E02000360,37.20616570327553,30.84778420038536,17.398843930635838,7.418111753371869,0.5973025048169557
E02000361,41.16485686080948,29.343534057255678,14.412635735439288,5.35538005923001,0.4935834155972359
E02000362,38.384845463609174,30.408773678963108,17.613825191093387,6.314390162844799,0.5317381189764041
E02000363,34.68108108108108,35.13513513513514,17.945945945945947,7.74054054054054,0.518918918918919
E02000364,45.53811659192825,27.73542600896861,13.29596412556054,4.955156950672645,0.3811659192825112
E02000366,37.51001870157628,31.044616617686348,17.232166711194232,8.121827411167512,0.6411969008816457
E02000367,48.32187626364739,27.557622321067534,12.555600485240598,4.164981803477557,0.303275374039628
E02000368,37.50574184657786,30.684428112080848,19.177767570050527,7.28066146072577,0.7119889756545705
E02000369,44.954701655732585,28.990940331146515,13.542642924086223,4.826616682286786,0.29678225554514215
E02000370,42.45477444469888,29.264941607510874,13.418822990611403,5.656056789558049,0.5953743989008472
E02006918,35.09991311902693,32.319721980886186,17.318273964668403,6.689834926151173,0.3764842166232262
E02006921,29.062601362309437,35.51735322737593,17.547843010055143,7.5900097307817065,0.5189750243269542
E02007108,51.67958656330749,26.48578811369509,9.108527131782946,2.7777777777777777,0.45219638242894056
E02007109,44.82664482664483,26.426426426426424,13.049413049413051,5.187005187005187,0.7098007098007098
E02007110,43.89997474109624,24.930538014650164,11.543319019954534,4.09194240969942,0.47991917150795654
E02007111,47.19612866495873,23.114147452319955,7.8280671790492455,1.7933390264730997,0.2277255906632508
E02000372,32.33624454148472,30.567685589519648,15.72052401746725,5.545851528384279,0.4585152838427947
E02000373,32.44058845718597,35.005658242172764,20.784609581290077,6.639004149377594,0.7544322897019993
E02000374,42.26509467667024,29.93926402286531,15.79135405501965,5.144694533762058,0.35727045373347627
E02000375,37.03703703703704,30.074074074074076,14.074074074074074,4.469135802469136,0.6913580246913581
E02000376,39.60176991150443,29.894911504424783,13.301991150442477,4.507743362831858,0.6637168141592921
E02000377,40.930113052415216,28.083247687564235,14.028776978417264,4.650565262076054,0.7965056526207606
E02000378,43.08899107384366,29.402218014606436,11.549905328644847,3.7057073302677845,0.18934271030565322
E02000379,50.77565632458234,27.62529832935561,10.411694510739856,3.371121718377088,0.38782816229116945
