MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur
E02000482,Havering 019,1.6812743277395716,0.9611150243336147,1.0521954936809472,0.8281111021773405
E02000483,Havering 020,2.0218101633385137,1.42131144804278,1.4647771418238702,1.0139357779432925
E02000484,Havering 021,1.666949857614399,1.0735760454715293,1.0469782769777345,0.8333253980639754
E02000485,Havering 022,1.8283271407366986,1.156532349444057,1.2462637778249899,0.9488474775526188
E02000486,Havering 023,1.7814503019214338,1.1909721831432867,1.3820405981686206,0.7620933844207908
E02000487,Havering 024,1.5919693889947115,0.9095986464781545,1.0624600648153608,0.7443019245717012
E02000488,Havering 025,1.4950197011047581,0.855171148887396,1.0069030620836326,0.619927977549693
E02000489,Havering 026,1.954542126203125,1.3639764215656707,1.5016894462103993,0.9720136900412671
E02000490,Havering 027,1.7525033805479815,1.2652924654878799,1.1366258563603366,0.9519468268843909
E02000491,Havering 028,2.0722605062011783,1.5252644292676605,1.44146169174828,1.3554059444550035
E02000492,Havering 029,1.828346825366569,1.0959530655436003,1.2804774921361444,0.6385869842077939
E02000493,Havering 030,1.9760144551809062,1.4503870014724176,1.4503870014724176,1.2666225602957781
E02000494,Hillingdon 001,1.7344380346734067,1.1718427718188007,1.1718427718188007,0.8996294548824371
E02000495,Hillingdon 002,1.9527024157149884,1.3342165801707828,1.3436787078685597,1.0753448640817713
E02000496,Hillingdon 003,1.939274186667608,1.4022264851930593,1.4883683147847209,0.8796893573635376
E02000497,Hillingdon 004,1.9017381499547714,1.221299357409121,1.432575393785993,1.1705269445779005
E02000498,Hillingdon 005,1.8286127064435866,1.2193741304885009,1.347403944073943,0.7085360034242767
E02000499,Hillingdon 006,1.67644492725984,1.0261491100208682,1.1282603167147323,0.8810742471742233
E02000500,Hillingdon 007,1.9856728770899874,1.2455788510635775,1.5160120791357892,1.19118906913971
E02000501,Hillingdon 008,1.7060119443663349,1.1739251972991736,1.1599144828563588,0.6444846271229592
E02000502,Hillingdon 009,1.7512031306798044,1.1324205159403269,1.2257264046795582,0.7752786356265491
E02000503,Hillingdon 010,1.8493840046282717,1.2981610293902592,1.266752565138635,0.8904474113444423
E02000504,Hillingdon 011,1.724912305019195,1.0498163470375428,1.0791057231395302,0.9311008937481443
E02000506,Hillingdon 013,1.9231546983821886,1.2475973485620226,1.3702198424431418,1.1320277141586175
E02000507,Hillingdon 014,1.735679923625522,1.196934775212629,1.2653220122065496,0.8392314381388719
E02000508,Hillingdon 015,2.2097852662513535,1.5456293203825044,1.727910154255883,1.1004206022815386
E02000509,Hillingdon 016,2.2723387326798603,1.6292837011003514,1.656583130688908,1.1434648969398429
E02000510,Hillingdon 017,2.203569227304977,1.7030667030738713,1.5335629189042748,1.1986217014382505
E02000511,Hillingdon 018,1.9157979525773243,1.30460589170889,1.3596017532380316,1.1359018445556994
E02000512,Hillingdon 019,1.848510235949654,1.3692858561422272,1.32493157999099,0.9921988983474154
E02000513,Hillingdon 020,2.09172381179595,1.5311546254026371,1.5055608792450492,1.1776810104033593
E02000514,Hillingdon 021,2.004533088077429,1.4512265711930803,1.4117180299094068,0.9993424760562284
E02000515,Hillingdon 022,2.1417384887798914,1.5327372970788182,1.659121274561299,1.1301667642699513
E02000516,Hillingdon 023,1.9484014918355375,1.4077621059400696,1.3935880676331573,0.9127511322043421
E02000517,Hillingdon 024,1.9537157047346343,1.4350151320726527,1.4129008177820805,0.8927900303521317
E02000518,Hillingdon 025,1.9312647403027954,1.425582864204335,1.4422885577071878,1.0261235777313693
E02000519,Hillingdon 026,2.14026325017079,1.484743284004681,1.5683636945820507,0.9627109152805522
E02000520,Hillingdon 027,2.22290173539817,1.577141550023213,1.6836325739296631,1.2015441411801218
E02000521,Hillingdon 028,1.9601681531228197,1.4295635081058662,1.4512827577991025,1.0695415265581723
E02000522,Hillingdon 029,2.060230085501719,1.474134306372619,1.5819173499746375,1.0337409062328506
E02000523,Hillingdon 030,2.0669248893012218,1.4426230822248154,1.5311541636601012,1.026982164002385
E02000524,Hillingdon 031,2.683684646822763,1.7377395004982756,2.204163305962051,1.242187324649518
E02000525,Hillingdon 032,2.1171645529773637,1.565595553912662,1.595166283380062,1.229516190568892
E02000526,Hounslow 001,1.9199123999220515,1.142969201727376,1.2865044268273345,1.259971083660576
E02000529,Hounslow 004,1.9847440511633967,1.4003942866143477,1.4739023030321663,1.1656898952830692
E02000530,Hounslow 005,2.0955106244469888,1.4446636720047332,1.5349609229578192,1.0895089984237516
E02000531,Hounslow 006,2.1428982717187437,1.5319057636333437,1.643232621982045,1.2814657480014289
E02000532,Hounslow 007,1.966719884164402,1.2097579328506964,1.4097965191285393,1.2605987302409392
E02000533,Hounslow 008,1.8983685023606371,1.2451559885852934,1.3626960031205622,1.162367266340726
E02000534,Hounslow 009,2.1603064036960413,1.4262227799436982,1.6894642147182795,1.1056839373155616
E02000535,Hounslow 010,2.0500413532872273,1.512068770146654,1.5816556559434756,1.2712265421703977
E02000536,Hounslow 011,1.9876403719139677,1.4452080902579512,1.5039137505957785,1.1728893125339888
